,Tiempo,Presión Final IM L1_Presion,Presión Aeropuerto IM L1,Presión SacBajo L1,Presión Aeropuerto IM L2,Presión MiraFlores IM L1,Presión Aeropuerto IM L3,Presión Tanque Elevado IM L1,Presión L1 T15 Solidaridad,Presión L1 T17 Solidaridad
14398,12:50:00,,2.687355279922485,0.2886284589767456,0.0,,2.237413167953491,-0.013020833954215,0.7243670225143433,
14399,12:55:00,,2.671440839767456,0.2336516231298446,0.0,,2.238859891891479,-0.013020833954215,0.7243670225143433,
14400,13:00:00,,2.696035861968994,0.2278645932674408,0.0,,2.235243082046509,0.4137731194496155,0.7273176908493042,
14401,13:05:00,,2.718460559844971,0.3826678097248077,0.0,,2.236689805984497,0.5215566754341125,0.7287929654121399,
14402,13:10:00,,2.717013835906982,0.4217303097248077,0.0,,2.236689805984497,0.5946180820465088,0.7302682399749756,
14403,13:15:00,,2.740161895751953,0.4217303097248077,0.0,,2.237413167953491,0.6047453880310059,0.7302682399749756,
14404,13:20:00,,2.742332220077514,0.4217303097248077,0.0,,2.233796358108521,0.6199363470077515,0.7302682399749756,
14405,13:25:00,,2.752459287643433,0.4217303097248077,0.0,,2.235966444015503,0.6351273655891418,0.725842297077179,
14406,13:30:00,,2.741608858108521,0.4217303097248077,0.0,,2.233796358108521,0.637297511100769,0.725842297077179,
14407,13:35:00,,2.727141141891479,0.4217303097248077,0.0,,2.236689805984497,0.6438078880310059,0.7243670225143433,
14408,13:40:00,,2.758246660232544,0.4217303097248077,0.0,,2.236689805984497,0.6488715410232544,0.7199411988258362,
14409,13:45:00,,2.735098361968994,0.4217303097248077,0.0,,2.233796358108521,0.64453125,0.7184659242630005,
14410,13:50:00,,2.771267414093018,0.4217303097248077,0.0,,2.236689805984497,0.6438078880310059,0.7140400409698486,
14411,13:55:00,,2.759693145751953,0.4217303097248077,0.0,,2.235243082046509,0.6380208730697632,0.7140400409698486,
14412,14:00:00,,2.752459287643433,0.5284287929534912,0.0,,2.237413167953491,0.6351273655891418,0.7140400409698486,
14413,14:05:00,,2.782118082046509,0.5291522145271301,0.0,,2.236689805984497,0.6307870149612427,0.7110894918441772,
14414,14:10:00,,2.731481552124023,0.5099826455116272,0.0,,2.236689805984497,0.6293402910232544,0.7066635489463806,
14415,14:15:00,,2.723524332046509,0.5092592239379883,0.0,,2.235243082046509,0.6076388955116272,0.7096142172813416,
14416,14:20:00,,2.688078641891479,0.5092592239379883,0.0,,2.233796358108521,0.5794270634651184,0.7081388831138611,
14417,14:25:00,,2.737991809844971,0.5092592239379883,0.0,,2.236689805984497,0.5772569179534912,0.7022377252578735,
14418,14:30:00,,2.727141141891479,0.915436863899231,0.0,,2.235243082046509,0.5714699029922485,0.7022377252578735,
14419,14:35:00,,2.730758190155029,0.9262876510620116,0.0,,2.233072996139526,0.5656828880310059,0.7037129998207092,
14420,14:40:00,,2.724247455596924,0.91977721452713,0.0,,2.232349395751953,0.5555555820465088,0.7022377252578735,
14421,14:45:00,,2.766927242279053,0.91977721452713,0.0,,2.236689805984497,0.5649595260620117,0.6948612928390503,
14422,14:50:00,,2.790075302124023,0.927734375,0.0,,2.235966444015503,0.5685763955116272,0.6933860182762146,
14423,14:55:00,,2.751012802124023,0.927734375,0.0,,2.235243082046509,0.5548321604728699,0.6933860182762146,
14424,15:00:00,,2.778501272201538,0.927734375,0.0,,2.235243082046509,0.5519386529922485,0.6948612928390503,
14425,15:05:00,,2.774160861968994,0.927734375,0.0,,2.236689805984497,0.5512152910232544,0.6992871165275574,
14426,15:10:00,,2.776330947875977,0.927734375,0.0,,2.235243082046509,0.5584490895271301,0.6948612928390503,
14427,15:15:00,,2.777777910232544,0.927734375,0.0,,2.235243082046509,0.5548321604728699,0.696336567401886,
14428,15:20:00,,2.789351940155029,0.8977141380310059,0.0,,2.233072996139526,0.5548321604728699,0.6933860182762146,
14429,15:25:00,,2.792245388031006,0.9027777910232544,0.0,,2.235243082046509,0.5519386529922485,0.6919106841087341,
14430,15:30:00,,2.790075302124023,0.9132667779922484,0.0,,2.235243082046509,0.5483217239379883,0.6933860182762146,
14431,15:35:00,,2.787181854248047,0.91001158952713,0.0,,2.233072996139526,0.5483217239379883,0.6919106841087341,
14432,15:40:00,,2.788628339767456,0.9016927480697632,0.0,,2.235243082046509,0.5483217239379883,0.6919106841087341,
14433,15:45:00,,2.797309160232544,0.9016927480697632,0.0,,2.235966444015503,0.5483217239379883,0.6919106841087341,
14434,15:50:00,,2.803096294403076,0.9016927480697632,0.0,,2.233796358108521,0.546875,0.6919106841087341,
14435,15:55:00,,2.843605279922485,0.9016927480697632,0.0,,2.235966444015503,0.5483217239379883,0.6904354095458984,
14436,16:00:00,,2.833478212356567,0.9016927480697632,0.0,,2.233796358108521,-0.0144675923511385,0.687484860420227,
14437,16:05:00,,2.808159589767456,0.5671296119689941,0.0,,2.233072996139526,-0.0159143507480621,0.687484860420227,
14438,16:10:00,,2.807436227798462,0.5110676884651184,0.0,,2.231626272201538,-0.0122974533587694,0.6889601349830627,
14439,16:15:00,,2.79296875,0.3880931735038757,0.0,,2.235966444015503,-0.0122974533587694,0.687484860420227,
14440,16:20:00,,2.764756917953491,0.308521419763565,0.0,,2.232349395751953,-0.0122974533587694,0.6904354095458984,
14441,16:25:00,,2.775607585906982,0.2390769720077514,0.0,,2.235243082046509,-0.013020833954215,0.6904354095458984,
14442,16:30:00,,2.772714138031006,0.197482630610466,0.0,,2.231626272201538,-0.0122974533587694,0.687484860420227,
14443,16:35:00,,2.756076335906982,0.1873553097248077,0.0,,2.231626272201538,-0.0122974533587694,0.6845341920852661,
14444,16:40:00,,2.758246660232544,0.1674623787403106,0.0,,2.231626272201538,-0.013020833954215,0.680108368396759,
14445,16:45:00,,2.71484375,0.1526331007480621,0.0,,2.23017954826355,-0.0144675923511385,0.6786330938339233,
14446,16:50:00,,2.729311227798462,0.1435908526182174,0.0,,2.233072996139526,-0.0144675923511385,0.6771578192710876,
14447,16:55:00,,2.740161895751953,0.13671875,0.0,,2.235243082046509,-0.0144675923511385,0.6771578192710876,
14448,17:00:00,,2.765480279922485,0.1302083283662796,0.0,,2.235966444015503,-0.0144675923511385,0.6771578192710876,
14449,17:05:00,,2.727141141891479,0.127314805984497,0.0,,2.233072996139526,-0.0144675923511385,0.680108368396759,
14450,17:10:00,,2.754629611968994,0.125144675374031,0.0,,2.232349395751953,-0.0144675923511385,0.6815836429595947,
14451,17:15:00,,2.753182888031006,0.1204427033662796,0.0,,2.232349395751953,-0.013020833954215,0.6786330938339233,
14452,17:20:00,,2.788628339767456,0.1200810149312019,0.0,,2.233796358108521,-0.0122974533587694,0.6771578192710876,
